,true_utility,misspecified_reward
0,6.04,6.04
0,4.57,4.73
0,6.96,6.96
0,3.79,5.38
0,8.86,8.86
0,7.24,7.24
0,6.62,6.62
0,6.73,6.73
0,7.47,7.47
0,4.39,4.39
0,4.47,4.47
0,4.81,4.81
0,6.78,6.78
0,6.12,6.3
0,6.37,6.37
0,6.85,6.85
0,5.68,5.68
0,4.62,4.62
0,4.93,6.09
0,4.51,4.51
0,7.3,7.3
0,5.68,5.68
0,6.73,7.21
0,3.71,3.71
0,4.4,4.4
0,2.78,3.94
0,4.63,4.63
0,4.14,6.23
0,5.04,5.04
0,6.29,6.29
0,5.1,5.1
0,5.18,5.18
0,5.4,5.4
0,4.91,5.45
0,5.9,5.9
0,4.8,4.94
0,5.62,5.62
0,5.16,5.16
0,5.11,5.11
0,3.29,3.51
0,3.88,3.88
0,3.19,3.19
0,6.05,6.05
0,3.41,5.32
0,4.96,4.96
0,4.3,4.3
0,6.84,6.84
0,6.76,6.76
0,6.63,6.71
0,5.24,5.24
0,3.47,3.67
0,7.48,7.48
0,6.52,6.52
0,5.28,5.28
0,3.8,3.8
0,6.2,6.2
0,5.43,5.43
0,5.58,5.58
0,5.97,6.75
0,5.71,5.9
0,5.01,5.01
0,4.28,4.28
0,4.31,4.62
0,5.77,5.77
0,4.79,4.79
0,4.37,5.87
0,4.93,4.93
0,5.32,5.32
0,5.94,5.94
0,5.31,5.31
0,4.8,4.8
0,4.85,4.85
0,4.39,4.39
0,6.57,7.46
0,3.98,5.15
0,5.53,5.53
0,4.51,6.89
0,5.45,5.45
0,3.99,3.99
0,6.16,6.16
0,5.79,5.79
0,5.82,6.27
0,4.29,4.29
0,5.81,5.81
0,4.55,4.55
0,5.7,5.7
0,5.7,6.26
0,5.07,5.07
0,5.19,5.91
0,5.98,5.98
0,5.5,5.5
0,5.04,5.04
0,5.42,6.22
0,5.23,5.31
0,5.52,5.52
0,5.9,5.9
0,3.89,5.13
0,5.4,5.4
0,6.09,6.09
0,5.68,5.68
0,6.17,6.17
0,4.93,4.93
0,4.12,4.6
0,5.55,5.55
0,4.76,4.95
0,3.68,5.08
0,5.85,5.85
0,6.11,6.7
0,4.81,6.63
0,6.91,6.91
0,5.67,5.67
0,6.96,6.96
0,5.09,5.09
0,4.88,4.88
0,4.63,4.63
0,5.01,5.01
0,4.58,4.58
0,3.11,4.9
0,7.04,8.38
0,3.85,5.13
0,5.61,5.61
0,5.6,5.6
0,6.65,6.65
0,4.29,5.72
0,5.8,5.8
0,5.88,5.88
0,4.79,4.79
0,5.18,5.18
0,4.34,4.34
0,5.6,5.6
0,5.58,5.58
0,5.07,6.31
0,5.82,5.93
0,6.0,6.0
0,4.7,4.7
0,4.23,4.46
0,3.83,4.6
0,5.24,5.24
0,7.09,7.24
0,5.51,5.51
0,4.02,6.5
0,4.02,4.02
0,6.14,6.14
0,5.41,6.26
0,5.14,5.14
0,6.29,6.29
0,6.73,7.29
0,5.92,5.92
0,5.87,5.87
0,5.47,5.47
0,4.98,6.4
0,5.18,5.18
0,4.31,5.51
0,6.86,6.86
0,4.31,6.34
0,5.03,5.03
0,6.3,6.3
0,6.08,6.08
0,5.1,5.1
0,5.68,6.94
0,5.75,6.8
0,3.5,5.91
0,4.99,6.88
0,6.21,6.21
0,4.61,4.61
0,5.3,5.3
0,4.84,4.84
0,4.07,4.07
0,4.37,4.37
0,5.87,5.87
0,4.46,4.46
0,5.66,5.66
0,4.88,4.88
0,5.69,5.92
0,5.81,5.81
0,7.74,8.24
0,5.34,5.94
0,6.17,6.56
0,4.75,4.75
0,6.3,6.48
0,8.11,8.11
0,5.9,5.9
0,5.93,5.93
0,5.54,5.54
0,5.13,5.29
0,5.33,5.33
0,8.31,8.31
0,5.57,5.57
0,4.63,6.25
0,5.71,5.71
0,6.48,6.48
0,4.25,5.49
0,6.23,6.38
0,5.91,6.24
0,6.45,6.45
0,7.14,7.45
0,4.8,4.8
0,4.94,4.94
0,6.41,6.84
0,4.81,4.81
0,6.22,6.22
0,5.91,5.99
0,3.61,3.61
0,7.32,7.32
0,7.86,8.69
0,4.46,7.73
0,5.39,5.39
0,5.46,5.46
0,6.58,6.58
0,5.48,5.88
0,7.8,7.8
0,6.77,6.77
0,4.16,5.17
0,5.52,5.52
0,4.46,4.46
0,4.04,4.04
0,5.81,6.06
0,5.11,5.59
0,4.4,4.78
0,3.59,5.72
0,4.45,4.61
0,4.55,5.43
0,4.14,4.44
0,4.17,4.17
0,3.81,3.81
0,4.65,4.65
0,4.89,5.61
0,4.81,4.81
0,4.32,5.24
0,4.61,4.61
0,3.89,3.89
0,5.69,5.84
0,4.04,4.04
0,4.84,5.64
0,6.68,6.68
0,5.78,5.78
0,5.75,7.06
0,4.04,4.04
0,5.86,5.86
0,5.21,5.93
0,4.15,4.15
0,6.44,6.44
0,5.47,5.47
0,6.07,6.07
0,5.39,5.67
0,6.27,6.27
0,6.59,6.59
0,5.58,5.58
0,4.49,4.49
0,5.58,5.76
0,5.71,5.71
0,5.95,5.95
0,4.65,4.65
0,4.09,4.29
0,7.02,7.2
0,5.28,5.28
0,4.47,4.47
0,4.18,4.18
0,6.92,6.92
0,6.02,6.02
0,5.33,5.33
0,5.13,5.13
0,3.96,4.63
0,4.43,4.43
0,4.89,4.89
0,3.43,5.89
0,4.92,4.92
0,6.98,6.98
0,5.88,5.88
0,3.36,3.36
0,7.24,7.7
0,3.55,3.55
0,5.2,5.2
0,3.76,3.76
0,4.79,4.79
0,4.72,4.72
0,5.48,5.48
0,5.59,6.05
0,4.84,4.84
0,4.88,4.88
0,4.25,4.25
0,5.52,5.68
0,7.06,7.18
0,6.99,6.99
0,3.2,3.69
0,4.72,4.72
0,4.56,4.56
0,5.54,5.62
0,5.63,5.63
0,5.48,5.48
0,5.66,5.66
0,5.48,5.48
0,5.99,6.36
0,5.14,5.34
0,6.99,6.99
0,4.56,4.56
0,5.94,5.99
0,5.87,5.87
0,5.27,5.67
0,4.13,5.38
0,4.57,4.57
0,7.18,7.18
0,4.72,4.72
0,5.55,5.55
0,5.84,5.84
0,3.76,4.0
