,misspecified_reward_value,kl_divergence_penalty,gamma,t_inv,q_cap,category,reward,utility,error
0,13,,0.9,0.0,,totally_random,530.7860550880432,519.6483507156372,
1,13,,0.99,0.007692307692307693,,boltzmann_sampling,556.4059743881226,543.1724214553833,
2,13,1.0,0.99,0.007692307692307693,,soft_q_learning,556.5234642028809,543.4266314506531,
3,20,1.0,0.99,0.007692307692307693,,soft_q_learning_high_reward,574.9439759254456,540.2706871032715,
4,13,,0.99,0.015384615384615385,,boltzmann_sampling,582.1512780189514,565.7570452690125,
5,13,1.0,0.99,0.015384615384615385,,soft_q_learning,582.6476302146912,567.1287908554077,
6,20,1.0,0.99,0.015384615384615385,,soft_q_learning_high_reward,626.382908821106,553.9619631767273,
7,13,,0.99,0.038461538461538464,,boltzmann_sampling,690.5624375343323,532.5471343994141,
8,13,1.0,0.99,0.038461538461538464,,soft_q_learning,660.6403465270996,631.5706949234009,
9,20,1.0,0.99,0.038461538461538464,,soft_q_learning_high_reward,1311.6727952957153,373.1852340698242,
10,13,,0.99,0.07692307692307693,,boltzmann_sampling,911.6132040023804,367.88158643245697,
11,13,1.0,0.99,0.07692307692307693,,soft_q_learning,904.7016739845276,517.5984492301941,
12,20,1.0,0.99,0.07692307692307693,,soft_q_learning_high_reward,1700.8111462593079,310.6751690506935,
13,13,,0.99,0.11538461538461539,,boltzmann_sampling,1029.725046634674,331.0073010325432,
14,13,1.0,0.99,0.11538461538461539,,soft_q_learning,1095.3038883209229,351.9848064184189,
15,20,1.0,0.99,0.11538461538461539,,soft_q_learning_high_reward,1821.5487985610962,305.1582702100277,
16,13,,0.99,0.15384615384615385,,boltzmann_sampling,1102.4275522232056,316.89505392313004,
17,13,1.0,0.99,0.15384615384615385,,soft_q_learning,1163.8275532722473,324.0502026081085,
18,20,1.0,0.99,0.15384615384615385,,soft_q_learning_high_reward,1878.964454650879,304.5353981554508,
19,13,,0.99,0.23076923076923078,,boltzmann_sampling,1186.9803519248962,307.2843049168587,
20,13,1.0,0.99,0.23076923076923078,,soft_q_learning,1225.4472241401672,313.6342474222183,
21,20,1.0,0.99,0.23076923076923078,,soft_q_learning_high_reward,1924.0732717514038,305.8434316813946,
22,13,,0.99,0.38461538461538464,6.0,q_cap,630.0258855819702,545.6829881668091,
23,13,1.0,0.99,0.38461538461538464,6.0,q_cap_soft,638.0789623260498,626.4048156738281,
24,20,1.0,0.99,0.38461538461538464,6.0,q_cap_soft_high_reward,639.6301784515381,610.3531818389893,
25,13,,0.99,0.38461538461538464,6.7,q_cap,683.556435585022,522.9149045944214,
26,13,1.0,0.99,0.38461538461538464,6.7,q_cap_soft,692.3286447525024,676.0808086395264,
27,20,1.0,0.99,0.38461538461538464,6.7,q_cap_soft_high_reward,692.6107540130615,635.4335479736328,
28,13,,0.99,0.38461538461538464,7.0,q_cap,708.3964262008667,506.0797424316406,
29,13,1.0,0.99,0.38461538461538464,7.0,q_cap_soft,717.0619258880615,696.2773385047913,
30,20,1.0,0.99,0.38461538461538464,7.0,q_cap_soft_high_reward,716.2912631034851,627.035174369812,
31,13,,0.99,0.38461538461538464,7.5,q_cap,752.0718359947205,471.2486627101898,
32,13,1.0,0.99,0.38461538461538464,7.5,q_cap_soft,759.7641310691833,716.6115822792053,
33,20,1.0,0.99,0.38461538461538464,7.5,q_cap_soft_high_reward,756.8946046829224,574.7785511016846,
34,13,,0.99,0.38461538461538464,8.0,q_cap,797.9517197608948,432.8388251066208,
35,13,1.0,0.99,0.38461538461538464,8.0,q_cap_soft,803.5723938941956,673.1422700881958,
36,20,1.0,0.99,0.38461538461538464,8.0,q_cap_soft_high_reward,800.7181754112244,506.44805335998535,
37,13,,0.99,0.38461538461538464,8.5,q_cap,844.9955062866211,396.15273106098175,
38,13,1.0,0.99,0.38461538461538464,8.5,q_cap_soft,848.8105525970459,549.1168303489685,
39,20,1.0,0.99,0.38461538461538464,8.5,q_cap_soft_high_reward,847.8389539718628,451.305557012558,
40,13,,0.99,0.38461538461538464,9.0,q_cap,892.4532661437988,365.9026725888252,
41,13,1.0,0.99,0.38461538461538464,9.0,q_cap_soft,896.3017010688782,438.1468904018402,
42,20,1.0,0.99,0.38461538461538464,9.0,q_cap_soft_high_reward,896.6770234107971,412.96770000457764,
43,13,,0.99,0.38461538461538464,9.5,q_cap,939.990138053894,344.2618101835251,
44,13,1.0,0.99,0.38461538461538464,9.5,q_cap_soft,944.6342315673828,373.4048373103142,
45,20,1.0,0.99,0.38461538461538464,9.5,q_cap_soft_high_reward,945.9854049682617,387.63712108135223,
46,13,,0.99,0.38461538461538464,10.0,q_cap,987.5400919914246,330.68215012550354,
47,13,1.0,0.99,0.38461538461538464,10.0,q_cap_soft,992.8357563018799,341.18701922893524,
48,20,1.0,0.99,0.38461538461538464,10.0,q_cap_soft_high_reward,995.2080035209656,371.29896223545074,
