,misspecified_reward_value,kl_divergence_penalty,gamma,t_inv,q_cap,category,reward,utility,error
0,13,,0.9,0.0,,totally_random,530.7860550880432,519.6483507156372,
1,13,,0.99,0.0038461538461538464,,boltzmann_sampling,543.5554790496826,531.4588112831116,
2,13,1.0,0.99,0.0038461538461538464,,soft_q_learning,543.5827226638794,531.5142803192139,
3,13,,0.99,0.007692307692307693,,boltzmann_sampling,556.4059743881226,543.1724214553833,
4,13,1.0,0.99,0.007692307692307693,,soft_q_learning,556.5234642028809,543.4266314506531,
5,13,,0.99,0.015384615384615385,,boltzmann_sampling,582.1512780189514,565.7570452690125,
6,13,1.0,0.99,0.015384615384615385,,soft_q_learning,582.6476302146912,567.1287908554077,
7,13,,0.99,0.023076923076923075,,boltzmann_sampling,608.0300145149231,585.5182108879089,
8,13,1.0,0.99,0.023076923076923075,,soft_q_learning,608.8137893676758,590.189621925354,
9,13,,0.99,0.038461538461538464,,boltzmann_sampling,690.5624375343323,532.5471343994141,
10,13,1.0,0.99,0.038461538461538464,,soft_q_learning,660.6403465270996,631.5706949234009,
11,13,,0.99,0.04615384615384615,,boltzmann_sampling,745.719717502594,472.9924159049988,
12,13,1.0,0.99,0.04615384615384615,,soft_q_learning,686.9951920509338,647.5420775413513,
13,13,,0.99,0.05384615384615384,,boltzmann_sampling,795.864625453949,431.2905846834183,
14,13,1.0,0.99,0.05384615384615384,,soft_q_learning,716.325900554657,656.2352771759033,
15,13,,0.99,0.06153846153846154,,boltzmann_sampling,839.8899555206299,402.71727228164673,
16,13,1.0,0.99,0.06153846153846154,,soft_q_learning,757.168372631073,646.2569136619568,
17,13,,0.99,0.06923076923076923,,boltzmann_sampling,878.1989126205444,382.5893443822861,
18,13,1.0,0.99,0.06923076923076923,,soft_q_learning,825.2976503372192,594.6088552474976,
19,13,,0.99,0.07692307692307693,,boltzmann_sampling,911.6132040023804,367.88158643245697,
20,13,1.0,0.99,0.07692307692307693,,soft_q_learning,904.7016739845276,517.5984492301941,
21,13,,0.99,0.11538461538461539,,boltzmann_sampling,1029.725046634674,331.0073010325432,
22,13,1.0,0.99,0.11538461538461539,,soft_q_learning,1095.3038883209229,351.9848064184189,
23,13,,0.99,0.15384615384615385,,boltzmann_sampling,1102.4275522232056,316.89505392313004,
24,13,1.0,0.99,0.15384615384615385,,soft_q_learning,1163.8275532722473,324.0502026081085,
25,13,,0.99,0.23076923076923078,,boltzmann_sampling,1186.9803519248962,307.2843049168587,
26,13,1.0,0.99,0.23076923076923078,,soft_q_learning,1225.4472241401672,313.6342474222183,
27,13,,0.99,0.07692307692307693,6.0,q_cap_t_inv_0.07692307692307693,629.0891060829163,547.2652597427368,
28,13,1.0,0.99,0.07692307692307693,6.0,q_cap_soft_t_inv_0.07692307692307693,633.1237769126892,607.829671382904,
29,13,,0.99,0.15384615384615385,6.0,q_cap_t_inv_0.15384615384615385,630.4715461730957,545.3208384513855,
30,13,1.0,0.99,0.15384615384615385,6.0,q_cap_soft_t_inv_0.15384615384615385,636.6752014160156,616.7157483100891,
31,13,,0.99,0.38461538461538464,6.0,q_cap_t_inv_0.38461538461538464,630.0258855819702,545.6829881668091,
32,13,1.0,0.99,0.38461538461538464,6.0,q_cap_soft_t_inv_0.38461538461538464,638.0789623260498,626.4048156738281,
33,13,,0.99,0.7692307692307693,6.0,q_cap_t_inv_0.7692307692307693,629.7359752655029,546.4572701454163,
