,misspecified_reward_value,kl_divergence_penalty,gamma,t_inv,q_cap,category,reward,utility,error
0,,,0.9,0.0,,totally_random,519.6483507156372,519.6483507156372,
1,,,0.99,0.0038461538461538464,,boltzmann_sampling,532.7621235847473,532.7621235847473,
2,,,0.99,0.007692307692307693,,boltzmann_sampling,545.8211989402771,545.8211989402771,
3,,,0.99,0.015384615384615385,,boltzmann_sampling,571.5437927246094,571.5437927246094,
4,,,0.99,0.023076923076923075,,boltzmann_sampling,596.3579239845276,596.3579239845276,
5,,,0.99,0.038461538461538464,,boltzmann_sampling,641.9906206130981,641.9906206130981,
6,,,0.99,0.04615384615384615,,boltzmann_sampling,662.5471773147583,662.5471773147583,
7,,,0.99,0.05384615384615384,,boltzmann_sampling,681.6074886322021,681.6074886322021,
8,,,0.99,0.06153846153846154,,boltzmann_sampling,699.2552628517151,699.2552628517151,
9,,,0.99,0.06923076923076923,,boltzmann_sampling,715.5980606079102,715.5980606079102,
10,,,0.99,0.07692307692307693,,boltzmann_sampling,730.7500033378601,730.7500033378601,
11,,,0.99,0.11538461538461539,,boltzmann_sampling,792.2553267478943,792.2553267478943,
12,,,0.99,0.15384615384615385,,boltzmann_sampling,837.0433783531189,837.0433783531189,
13,,,0.99,0.23076923076923078,,boltzmann_sampling,898.2736554145813,898.2736554145813,
14,,,0.99,0.38461538461538464,,boltzmann_sampling,967.1139259338379,967.1139259338379,
15,,,0.99,0.7692307692307693,,boltzmann_sampling,1036.370032787323,1036.370032787323,
16,,,0.99,1.5384615384615385,,boltzmann_sampling,1068.9214262962341,1068.9214262962341,
17,,,0.99,3.8461538461538463,,boltzmann_sampling,1077.064420223236,1077.064420223236,
