,misspecified_reward_value,kl_divergence_penalty,gamma,t_inv,q_cap,category,reward,utility,error
0,13,,0.9,0.0,,totally_random,530.7860550880432,519.6483507156372,
1,13,,0.9,0.007692307692307693,,boltzmann_sampling,541.7023277282715,527.3996868133545,
2,13,1.0,0.9,0.0,,soft_q_learning,530.7860550880432,519.6483507156372,
3,20,1.0,0.9,0.0,,soft_q_learning_high_reward,539.644241809845,519.6483507156372,
4,13,,0.9666666666666667,0.007692307692307693,,boltzmann_sampling,549.59663438797,535.411440372467,
5,13,1.0,0.9666666666666667,0.0,,soft_q_learning,530.7860550880432,519.6483507156372,
6,20,1.0,0.9666666666666667,0.0,,soft_q_learning_high_reward,539.644241809845,519.6483507156372,
7,13,,0.99,0.007692307692307693,,boltzmann_sampling,556.405818939209,543.1722221374512,
8,13,1.0,0.99,0.0,,soft_q_learning,530.7860550880432,519.6483507156372,
9,20,1.0,0.99,0.0,,soft_q_learning_high_reward,539.644241809845,519.6483507156372,
10,13,,0.9,0.015384615384615385,,boltzmann_sampling,553.7231831550598,534.2763385772705,
11,13,1.0,0.9,0.0,,soft_q_learning,530.7860550880432,519.6483507156372,
12,20,1.0,0.9,0.0,,soft_q_learning_high_reward,539.644241809845,519.6483507156372,
13,13,,0.9666666666666667,0.015384615384615385,,boltzmann_sampling,569.4832038879395,549.9603924751282,
14,13,1.0,0.9666666666666667,0.0,,soft_q_learning,530.7860550880432,519.6483507156372,
15,20,1.0,0.9666666666666667,0.0,,soft_q_learning_high_reward,539.644241809845,519.6483507156372,
16,13,,0.99,0.015384615384615385,,boltzmann_sampling,582.1510057449341,565.7566719055176,
17,13,1.0,0.99,0.0,,soft_q_learning,530.7860550880432,519.6483507156372,
18,20,1.0,0.99,0.0,,soft_q_learning_high_reward,539.644241809845,519.6483507156372,
19,13,,0.9,0.038461538461538464,,boltzmann_sampling,611.8274917602539,535.1829710006714,
20,13,1.0,0.9,0.0,,soft_q_learning,530.7860550880432,519.6483507156372,
21,20,1.0,0.9,0.0,,soft_q_learning_high_reward,539.644241809845,519.6483507156372,
22,13,,0.9666666666666667,0.038461538461538464,,boltzmann_sampling,668.0132899284363,525.104462146759,
23,13,1.0,0.9666666666666667,0.0,,soft_q_learning,530.7860550880432,519.6483507156372,
24,20,1.0,0.9666666666666667,0.0,,soft_q_learning_high_reward,539.644241809845,519.6483507156372,
25,13,,0.99,0.038461538461538464,,boltzmann_sampling,690.5618462562561,532.5481605529785,
26,13,1.0,0.99,0.0,,soft_q_learning,530.7860550880432,519.6483507156372,
27,20,1.0,0.99,0.0,,soft_q_learning_high_reward,539.644241809845,519.6483507156372,
28,13,,0.9,0.07692307692307693,,boltzmann_sampling,825.9928178787231,436.5985186100006,
29,13,1.0,0.9,0.0,,soft_q_learning,530.7860550880432,519.6483507156372,
30,20,1.0,0.9,0.0,,soft_q_learning_high_reward,539.644241809845,519.6483507156372,
31,13,,0.9666666666666667,0.07692307692307693,,boltzmann_sampling,897.1330165863037,378.952641248703,
32,13,1.0,0.9666666666666667,0.0,,soft_q_learning,530.7860550880432,519.6483507156372,
33,20,1.0,0.9666666666666667,0.0,,soft_q_learning_high_reward,539.644241809845,519.6483507156372,
34,13,,0.99,0.07692307692307693,,boltzmann_sampling,911.6134448051453,367.88133907318115,
35,13,1.0,0.99,0.0,,soft_q_learning,530.7860550880432,519.6483507156372,
36,20,1.0,0.99,0.0,,soft_q_learning_high_reward,539.644241809845,519.6483507156372,
37,13,,0.9,0.11538461538461539,,boltzmann_sampling,987.3290257453918,365.4338110089302,
38,13,1.0,0.9,0.0,,soft_q_learning,530.7860550880432,519.6483507156372,
39,20,1.0,0.9,0.0,,soft_q_learning_high_reward,539.644241809845,519.6483507156372,
40,13,,0.9666666666666667,0.11538461538461539,,boltzmann_sampling,1022.540442943573,336.51069337129593,
41,13,1.0,0.9666666666666667,0.0,,soft_q_learning,530.7860550880432,519.6483507156372,
42,20,1.0,0.9666666666666667,0.0,,soft_q_learning_high_reward,539.644241809845,519.6483507156372,
43,13,,0.99,0.11538461538461539,,boltzmann_sampling,1029.7253198623657,331.00748032331467,
44,13,1.0,0.99,0.0,,soft_q_learning,530.7860550880432,519.6483507156372,
45,20,1.0,0.99,0.0,,soft_q_learning_high_reward,539.644241809845,519.6483507156372,
46,13,,0.9,0.15384615384615385,,boltzmann_sampling,1079.2408714294434,335.79655027389526,
47,13,1.0,0.9,0.0,,soft_q_learning,530.7860550880432,519.6483507156372,
48,20,1.0,0.9,0.0,,soft_q_learning_high_reward,539.644241809845,519.6483507156372,
49,13,,0.9666666666666667,0.15384615384615385,,boltzmann_sampling,1098.336937904358,320.811596930027,
50,13,1.0,0.9666666666666667,0.0,,soft_q_learning,530.7860550880432,519.6483507156372,
51,20,1.0,0.9666666666666667,0.0,,soft_q_learning_high_reward,539.644241809845,519.6483507156372,
52,13,,0.99,0.15384615384615385,,boltzmann_sampling,1102.4256081581116,316.8960894346237,
53,13,1.0,0.99,0.0,,soft_q_learning,530.7860550880432,519.6483507156372,
54,20,1.0,0.99,0.0,,soft_q_learning_high_reward,539.644241809845,519.6483507156372,
55,13,,0.9,0.23076923076923078,,boltzmann_sampling,1177.0491814613342,316.8916885256767,
56,13,1.0,0.9,0.0,,soft_q_learning,530.7860550880432,519.6483507156372,
57,20,1.0,0.9,0.0,,soft_q_learning_high_reward,539.644241809845,519.6483507156372,
58,13,,0.9666666666666667,0.23076923076923078,,boltzmann_sampling,1185.0827679634094,310.77413126826286,
59,13,1.0,0.9666666666666667,0.0,,soft_q_learning,530.7860550880432,519.6483507156372,
60,20,1.0,0.9666666666666667,0.0,,soft_q_learning_high_reward,539.644241809845,519.6483507156372,
61,13,,0.99,0.23076923076923078,,boltzmann_sampling,1186.9806084632874,307.2844513654709,
62,13,1.0,0.99,0.0,,soft_q_learning,530.7860550880432,519.6483507156372,
63,20,1.0,0.99,0.0,,soft_q_learning_high_reward,539.644241809845,519.6483507156372,
64,13,,0.9,0.38461538461538464,7.0,q_cap,743.6059327125549,497.3769919872284,
65,13,1.0,0.9,0.38461538461538464,7.0,q_cap_soft,762.8478260040283,527.1677424907684,
66,20,1.0,0.9,0.38461538461538464,7.0,q_cap_soft_high_reward,803.9764723777771,500.02575945854187,
67,13,,0.9666666666666667,0.38461538461538464,7.0,q_cap,719.5507698059082,501.05640864372253,
68,13,1.0,0.9666666666666667,0.38461538461538464,7.0,q_cap_soft,730.312105178833,600.3784546852112,
69,20,1.0,0.9666666666666667,0.38461538461538464,7.0,q_cap_soft_high_reward,739.4421286582947,537.5045187473297,
70,13,,0.99,0.38461538461538464,7.0,q_cap,708.4123010635376,506.0633306503296,
71,13,1.0,0.99,0.38461538461538464,7.0,q_cap_soft,717.0700206756592,696.2775015830994,
72,20,1.0,0.99,0.38461538461538464,7.0,q_cap_soft_high_reward,716.2818007469177,627.029420375824,
73,13,,0.9,0.38461538461538464,7.5,q_cap,789.3894577026367,467.78854513168335,
74,13,1.0,0.9,0.38461538461538464,7.5,q_cap_soft,810.8659591674805,495.04042959213257,
75,20,1.0,0.9,0.38461538461538464,7.5,q_cap_soft_high_reward,862.2356390953064,468.9688446521759,
76,13,,0.9666666666666667,0.38461538461538464,7.5,q_cap,763.6193146705627,467.62214398384094,
77,13,1.0,0.9666666666666667,0.38461538461538464,7.5,q_cap_soft,773.7671284675598,559.0564253330231,
78,20,1.0,0.9666666666666667,0.38461538461538464,7.5,q_cap_soft_high_reward,786.4798769950867,497.39404296875,
79,13,,0.99,0.38461538461538464,7.5,q_cap,752.0904550552368,471.2285885810852,
80,13,1.0,0.99,0.38461538461538464,7.5,q_cap_soft,759.7673435211182,716.5928511619568,
81,20,1.0,0.99,0.38461538461538464,7.5,q_cap_soft_high_reward,756.8804378509521,574.7857837677002,
82,13,,0.9,0.38461538461538464,8.0,q_cap,837.3484220504761,435.2238496541977,
83,13,1.0,0.9,0.38461538461538464,8.0,q_cap_soft,860.5573201179504,457.8085820674896,
84,20,1.0,0.9,0.38461538461538464,8.0,q_cap_soft_high_reward,921.7597250938416,437.08441400527954,
85,13,,0.9666666666666667,0.38461538461538464,8.0,q_cap,809.9343147277832,431.1032700538635,
86,13,1.0,0.9666666666666667,0.38461538461538464,8.0,q_cap_soft,820.0690274238586,500.14086866378784,
87,20,1.0,0.9666666666666667,0.38461538461538464,8.0,q_cap_soft_high_reward,836.3423624038696,456.54439902305603,
88,13,,0.99,0.38461538461538464,8.0,q_cap,797.9720940589905,432.8185179233551,
89,13,1.0,0.99,0.38461538461538464,8.0,q_cap_soft,803.5690884590149,673.102569103241,
90,20,1.0,0.99,0.38461538461538464,8.0,q_cap_soft_high_reward,800.7019181251526,506.4651834964752,
91,13,,0.9,0.38461538461538464,8.5,q_cap,886.1799883842468,402.8840682506561,
92,13,1.0,0.9,0.38461538461538464,8.5,q_cap_soft,910.449969291687,419.7721300125122,
93,20,1.0,0.9,0.38461538461538464,8.5,q_cap_soft_high_reward,980.5328154563904,407.7369303703308,
94,13,,0.9666666666666667,0.38461538461538464,8.5,q_cap,857.3372139930725,395.92890310287476,
95,13,1.0,0.9666666666666667,0.38461538461538464,8.5,q_cap_soft,868.0532121658325,439.5896006822586,
96,20,1.0,0.9666666666666667,0.38461538461538464,8.5,q_cap_soft_high_reward,887.4524011611938,421.57950353622437,
97,13,,0.99,0.38461538461538464,8.5,q_cap,845.0162162780762,396.1352518796921,
98,13,1.0,0.99,0.38461538461538464,8.5,q_cap_soft,848.8037958145142,549.1216216087341,
99,20,1.0,0.99,0.38461538461538464,8.5,q_cap_soft_high_reward,847.8209829330444,451.3203421831131,
100,13,,0.9,0.38461538461538464,9.0,q_cap,934.817615032196,374.13352930545807,
101,13,1.0,0.9,0.38461538461538464,9.0,q_cap_soft,959.4321699142456,385.3706682920456,
102,20,1.0,0.9,0.38461538461538464,9.0,q_cap_soft_high_reward,1037.2353806495667,383.2876309156418,
103,13,,0.9666666666666667,0.38461538461538464,9.0,q_cap,904.9793133735657,366.41358572244644,
104,13,1.0,0.9666666666666667,0.38461538461538464,9.0,q_cap_soft,916.3422341346741,389.8928632736206,
105,20,1.0,0.9666666666666667,0.38461538461538464,9.0,q_cap_soft_high_reward,938.5715169906616,394.67461109161377,
106,13,,0.99,0.38461538461538464,9.0,q_cap,892.4746856689453,365.89080995321274,
107,13,1.0,0.99,0.38461538461538464,9.0,q_cap_soft,896.2996649742126,438.1735534667969,
108,20,1.0,0.99,0.38461538461538464,9.0,q_cap_soft_high_reward,896.66046667099,412.9781674146652,
109,13,,0.9,0.38461538461538464,9.5,q_cap,982.5337386131287,351.5091382265091,
110,13,1.0,0.9,0.38461538461538464,9.5,q_cap_soft,1006.9029450416565,357.8971549272537,
111,20,1.0,0.9,0.38461538461538464,9.5,q_cap_soft_high_reward,1091.3185896873474,364.6414076089859,
112,13,,0.9666666666666667,0.38461538461538464,9.5,q_cap,952.4410605430603,344.851424574852,
