true_utility,false_utility,complexity
1.184,10.042,0.6266666666666667
2.977,3.091,0.81
4.393,4.443,0.846
3.762,5.758,0.804
1.903,4.1,0.804
3.941,4.331,0.5973333333333334
2.9,4.678,0.786
2.626,6.568,0.768
2.95,5.303,0.632
1.087,6.415,0.6453333333333333
3.661,4.012,0.6106666666666667
4.295,4.354,0.843
2.695,3.24,0.765
3.866,4.072,0.672
4.098,4.098,0.648
2.308,6.26,0.816
3.854,5.117,0.771
3.852,4.897,0.765
1.806,9.207,0.672
3.062,3.062,0.6693333333333333
2.074,8.936,0.64
3.528,3.528,0.6586666666666666
3.301,3.301,0.6133333333333333
5.266,5.52,0.6693333333333333
4.04,4.04,0.81
3.791,3.791,0.6106666666666667
3.124,4.104,0.801
3.786,4.324,0.6453333333333333
2.705,2.705,0.5946666666666667
3.284,4.334,0.786
4.598,4.8,0.831
2.284,2.284,0.6666666666666666
1.251,7.013,0.6586666666666666
0.881,10.946,0.825
2.234,7.764,0.84
2.389,2.433,0.834
2.648,2.659,0.6266666666666667
2.427,2.427,0.6106666666666667
2.979,2.979,0.624
2.637,2.762,0.6506666666666666
2.453,2.453,0.6213333333333333
4.192,4.405,0.664
1.268,8.592,0.771
1.767,2.421,0.822
0.948,8.866,0.6106666666666667
2.816,2.816,0.656
0.507,7.474,0.6026666666666667
3.459,3.688,0.6
2.377,2.377,0.632
3.149,3.567,0.762
0.375,9.729,0.6026666666666667
3.383,4.131,0.6586666666666666
2.072,6.193,0.6106666666666667
2.991,3.053,0.6213333333333333
3.607,3.616,0.84
2.982,2.982,0.6346666666666667
3.772,3.772,0.5813333333333334
3.546,3.828,0.774
3.112,3.112,0.774
3.761,3.877,0.888
3.978,4.008,0.792
2.72,2.72,0.765
3.561,3.693,0.6586666666666666
2.39,6.852,0.831
2.804,2.804,0.6613333333333333
3.846,3.846,0.825
3.691,3.703,0.885
3.053,3.601,0.648
2.718,5.294,0.6506666666666666
4.039,4.333,0.786
2.009,2.009,0.5973333333333334
2.671,2.671,0.6186666666666667
2.793,2.793,0.6266666666666667
3.112,3.112,0.768
3.713,4.181,0.656
2.811,3.495,0.804
2.364,3.971,0.672
3.311,3.334,0.774
2.726,2.726,0.795
1.412,9.252,0.831
2.851,2.851,0.5866666666666667
2.423,4.954,0.762
1.166,9.207,0.795
2.776,2.776,0.78
1.724,2.672,0.765
2.539,2.539,0.786
0.804,9.715,0.6186666666666667
