true_utility,false_utility,complexity
3.756,4.278,0.777
4.388,4.595,0.786
2.102,5.784,0.762
4.004,4.113,0.6613333333333333
2.551,4.718,0.801
3.245,3.245,0.6213333333333333
3.881,3.971,0.672
3.892,4.271,0.765
4.085,4.085,0.6346666666666667
2.627,3.069,0.648
3.995,4.004,0.867
5.218,5.46,0.861
4.196,4.196,0.6266666666666667
4.095,4.095,0.6373333333333333
3.031,3.908,0.616
4.124,4.19,0.798
3.498,3.548,0.765
3.109,3.836,0.777
3.973,4.457,0.664
4.955,4.955,0.789
3.43,3.588,0.64
5.56,5.572,0.78
4.8,5.045,0.837
4.409,4.409,0.807
3.767,3.767,0.783
3.066,3.066,0.6106666666666667
3.625,3.801,0.804
3.636,3.864,0.777
5.155,5.179,0.81
4.546,5.019,0.6266666666666667
3.895,4.681,0.6586666666666666
4.05,4.086,0.6453333333333333
4.54,4.54,0.798
4.994,5.096,0.664
4.727,4.727,0.765
4.545,4.545,0.759
4.994,4.994,0.876
4.378,4.378,0.816
3.726,5.187,0.807
4.024,4.608,0.789
4.729,4.729,0.789
3.734,3.734,0.6693333333333333
3.135,3.153,0.6453333333333333
3.477,3.879,0.819
4.106,4.234,0.783
3.7,4.232,0.568
4.521,4.597,0.5786666666666667
4.675,4.943,0.849
4.069,4.139,0.87
3.174,3.689,0.777
4.114,4.663,0.64
4.357,4.373,0.6106666666666667
4.197,4.197,0.64
4.219,4.219,0.795
3.954,4.501,0.813
3.063,4.429,0.795
4.15,4.159,0.5973333333333334
4.076,4.658,0.616
4.549,4.645,0.891
3.292,4.683,0.783
2.641,4.021,0.64
3.942,3.942,0.807
4.564,5.36,0.795
3.475,4.543,0.765
2.784,3.736,0.783
4.204,4.253,0.6693333333333333
3.835,4.077,0.834
4.761,4.833,0.774
4.153,4.173,0.759
3.228,3.304,0.6506666666666666
3.893,4.518,0.822
3.816,3.816,0.786
4.095,4.106,0.768
3.717,4.098,0.765
2.672,4.509,0.759
3.303,5.353,0.849
3.96,3.96,0.813
4.846,4.864,0.6346666666666667
3.619,5.403,0.6293333333333333
2.806,3.572,0.6373333333333333
4.673,4.828,0.6106666666666667
2.765,4.311,0.656
3.168,4.537,0.771
4.454,4.538,0.6026666666666667
4.655,4.655,0.798
4.275,4.275,0.6506666666666666
3.154,3.174,0.648
4.329,4.329,0.807
4.976,4.993,0.831
4.538,4.614,0.6613333333333333
3.811,3.821,0.6586666666666666
3.316,3.965,0.78
3.482,4.495,0.795
4.43,4.43,0.6693333333333333
1.973,4.251,0.819
4.047,4.047,0.819
3.838,4.499,0.858
4.087,4.087,0.858
3.684,3.684,0.825
4.037,4.29,0.807
4.324,4.324,0.616
1.952,5.864,0.6506666666666666
3.097,4.502,0.608
4.939,4.939,0.807
4.378,5.06,0.648
4.489,4.489,0.84
3.238,3.904,0.6106666666666667
3.752,4.448,0.828
4.496,4.502,0.6373333333333333
4.185,4.185,0.6266666666666667
3.275,3.636,0.762
2.952,3.394,0.762
3.767,4.573,0.774
3.11,4.087,0.882
3.99,3.99,0.5706666666666667
1.874,6.847,0.6266666666666667
2.694,4.489,0.78
4.564,4.625,0.6453333333333333
3.51,3.707,0.759
4.237,4.237,0.855
2.789,2.789,0.64
4.445,4.537,0.825
2.979,3.416,0.6426666666666667
5.063,5.182,0.765
4.72,4.753,0.584
2.881,5.014,0.672
4.773,4.823,0.909
4.052,4.074,0.867
4.562,4.562,0.759
4.108,4.155,0.792
3.657,4.482,0.84
3.715,3.81,0.6506666666666666
4.81,4.859,0.819
5.01,5.102,0.84
3.437,3.849,0.6693333333333333
2.976,3.461,0.664
6.052,6.218,0.84
4.236,4.236,0.84
4.576,4.576,0.6666666666666666
3.725,3.964,0.6213333333333333
4.026,4.909,0.632
3.874,5.034,0.656
5.025,5.025,0.825
4.611,4.726,0.816
3.739,3.761,0.6613333333333333
3.967,4.063,0.6453333333333333
4.925,5.144,0.78
4.305,4.548,0.825
2.771,5.374,0.771
2.395,5.322,0.777
4.7,4.777,0.632
4.745,4.745,0.664
5.07,5.07,0.801
1.911,5.601,0.6506666666666666
4.173,4.755,0.858
3.774,3.774,0.5813333333333334
4.632,4.687,0.664
5.734,5.734,0.825
4.72,4.924,0.828
4.196,4.305,0.855
3.991,4.985,0.6426666666666667
3.124,4.125,0.849
4.138,4.138,0.5946666666666667
4.274,4.274,0.6453333333333333
3.475,3.665,0.831
4.747,4.81,0.831
2.44,6.017,0.6506666666666666
4.766,4.777,0.584
3.149,3.299,0.6186666666666667
3.196,3.196,0.6453333333333333
2.662,3.417,0.831
5.557,5.591,0.858
4.488,4.834,0.849
4.373,5.084,0.927
4.048,4.886,0.873
4.571,4.571,0.804
4.646,4.693,0.762
5.044,5.044,0.84
4.103,4.185,0.6453333333333333
3.059,4.469,0.6533333333333333
3.913,4.001,0.807
3.966,4.312,0.792
4.492,4.512,0.777
3.709,4.079,0.867
4.081,4.081,0.6053333333333333
3.617,4.225,0.6666666666666666
2.111,3.084,0.584
4.47,5.293,0.81
3.656,4.078,0.831
3.461,4.506,0.664
4.131,4.131,0.616
4.754,5.064,0.78
4.813,4.813,0.648
4.841,5.176,0.672
2.435,5.072,0.819
3.783,3.783,0.6426666666666667
3.198,4.763,0.6293333333333333
3.457,3.763,0.624
3.901,3.91,0.64
3.983,3.983,0.6586666666666666
2.988,3.695,0.656
5.01,5.12,0.813
4.279,4.726,0.6346666666666667
4.121,4.65,0.6666666666666666
4.771,4.78,0.786
