true_utility,false_utility,complexity
3.425,3.425,0.6346666666666667
3.296,3.296,0.912
1.735,5.442,0.867
2.126,2.988,0.777
1.404,8.383,0.786
3.441,3.441,0.876
2.825,2.825,0.81
2.684,2.684,0.6613333333333333
3.133,3.133,0.6373333333333333
0.881,8.733,0.64
3.117,3.828,0.6586666666666666
2.618,2.655,0.6506666666666666
3.237,3.415,0.792
2.414,2.414,0.807
2.296,2.999,0.81
2.717,2.969,0.786
3.935,3.979,0.6346666666666667
4.152,4.152,0.888
4.215,4.253,0.879
2.818,2.818,0.816
2.799,2.799,0.762
2.944,2.944,0.786
3.991,4.031,0.879
2.938,2.949,0.774
2.825,4.222,0.807
3.635,3.831,0.6053333333333333
3.378,3.378,0.6586666666666666
3.183,3.183,0.87
3.083,3.12,0.624
3.494,3.504,0.6666666666666666
3.543,3.543,0.852
4.034,4.074,0.786
3.155,3.322,0.798
2.422,2.422,0.576
3.811,4.115,0.816
2.74,5.804,0.825
3.4,3.4,0.765
0.704,10.373,0.6213333333333333
2.17,3.399,0.888
2.318,4.455,0.632
3.049,3.049,0.795
2.916,4.309,0.6186666666666667
2.762,6.344,0.78
3.007,3.007,0.774
3.007,3.404,0.6293333333333333
4.299,4.299,0.879
2.532,4.564,0.81
3.219,3.219,0.759
3.101,3.101,0.6293333333333333
3.187,3.208,0.762
3.109,4.346,0.664
2.444,4.155,0.837
3.283,3.538,0.801
3.834,3.934,0.786
2.613,2.613,0.6133333333333333
2.897,2.897,0.774
3.627,4.299,0.6453333333333333
3.794,3.879,0.792
3.645,3.645,0.656
3.302,3.592,0.834
3.624,3.624,0.777
4.69,4.843,0.852
3.578,3.578,0.789
1.374,2.035,0.6053333333333333
3.222,3.285,0.768
3.222,3.762,0.831
2.794,2.794,0.789
3.381,3.381,0.656
3.787,4.071,0.816
1.838,1.838,0.6266666666666667
2.659,2.692,0.648
2.44,2.483,0.771
2.773,2.832,0.762
3.093,3.192,0.789
2.404,5.719,0.825
4.519,4.877,0.858
3.191,3.191,0.777
2.804,2.804,0.804
4.169,5.408,0.822
3.98,3.991,0.78
3.328,3.328,0.792
4.041,4.041,0.789
3.883,3.883,0.624
3.204,3.204,0.6586666666666666
2.882,2.882,0.656
3.382,3.951,0.6453333333333333
4.723,4.824,0.891
4.08,5.026,0.864
3.537,3.537,0.828
2.002,4.491,0.6693333333333333
3.289,4.783,0.786
1.669,7.438,0.6453333333333333
4.386,4.386,0.798
1.214,8.744,0.6373333333333333
1.415,8.939,0.789
3.056,3.056,0.777
2.67,7.279,0.789
2.247,4.93,0.768
3.83,3.928,0.798
2.765,2.765,0.774
3.443,3.443,0.6186666666666667
2.894,3.656,0.807
4.133,4.133,0.624
2.494,4.422,0.807
3.456,3.752,0.792
3.062,3.062,0.608
3.0,3.0,0.858
3.055,4.985,0.786
2.808,2.819,0.6186666666666667
4.277,4.596,0.648
0.738,10.357,0.6666666666666666
3.037,3.037,0.672
3.344,4.748,0.936
1.542,3.968,0.759
3.574,3.574,0.6693333333333333
2.941,2.941,0.648
2.72,2.72,0.64
2.085,2.412,0.858
2.793,2.793,0.6053333333333333
2.071,2.964,0.813
2.643,2.643,0.768
1.838,5.144,0.648
2.546,2.546,0.624
1.809,8.42,0.768
3.448,3.448,0.855
2.9,2.9,0.6613333333333333
0.712,7.839,0.6586666666666666
2.129,5.03,0.822
3.155,3.155,0.822
2.825,2.825,0.798
2.951,2.951,0.6373333333333333
2.666,5.749,0.664
2.338,4.7,0.789
2.51,2.51,0.6426666666666667
3.565,3.565,0.6133333333333333
2.99,2.99,0.759
1.585,3.728,0.6346666666666667
2.8,2.8,0.656
3.341,3.445,0.6053333333333333
3.058,3.058,0.816
2.071,2.954,0.777
3.259,3.259,0.64
1.405,6.989,0.5946666666666667
4.233,4.242,0.852
1.98,4.784,0.765
2.138,2.16,0.5893333333333334
0.619,10.534,0.6586666666666666
2.75,2.75,0.798
3.206,3.206,0.624
3.639,3.691,0.6293333333333333
3.402,3.865,0.6133333333333333
2.209,2.209,0.616
1.206,9.605,0.6373333333333333
2.565,2.565,0.616
2.473,5.736,0.774
2.662,2.662,0.795
3.664,3.875,0.783
2.682,2.919,0.6186666666666667
3.661,3.661,0.846
1.633,6.452,0.783
2.818,2.818,0.843
1.469,7.047,0.6453333333333333
3.711,3.711,0.804
2.455,2.455,0.5866666666666667
2.02,2.659,0.855
3.284,4.783,0.801
3.667,3.667,0.825
2.485,3.008,0.837
2.721,2.915,0.6533333333333333
3.025,3.025,0.5813333333333334
3.012,3.062,0.786
3.017,3.22,0.6373333333333333
2.356,6.215,0.786
3.123,3.123,0.6666666666666666
2.073,2.158,0.672
4.312,4.675,0.849
4.871,4.871,0.6186666666666667
1.24,8.509,0.576
3.484,3.484,0.885
2.29,4.844,0.816
3.314,5.756,0.801
2.428,2.428,0.822
3.272,3.272,0.6373333333333333
2.628,4.153,0.879
3.109,3.109,0.6506666666666666
2.645,2.645,0.6213333333333333
2.635,3.55,0.648
3.252,3.252,0.84
3.409,3.409,0.852
4.454,4.454,0.786
3.33,3.393,0.762
3.931,3.931,0.78
1.226,9.235,0.624
3.787,4.054,0.768
3.031,7.341,0.84
3.149,3.149,0.6586666666666666
1.609,5.875,0.6213333333333333
2.848,2.848,0.6426666666666667
3.158,3.158,0.6666666666666666
3.185,3.185,0.608
2.552,2.552,0.771
3.628,3.628,0.783
3.613,3.631,0.831
2.958,2.958,0.6533333333333333
2.894,2.894,0.801
2.449,2.449,0.6586666666666666
3.596,3.605,0.852
2.887,2.887,0.759
1.299,6.716,0.664
3.914,4.348,0.6533333333333333
2.408,5.456,0.864
3.862,3.891,0.6613333333333333
2.845,3.541,0.786
1.707,8.992,0.6693333333333333
3.914,3.914,0.6533333333333333
0.766,7.294,0.6133333333333333
0.771,7.878,0.672
3.623,3.623,0.6266666666666667
3.152,3.354,0.771
1.241,6.919,0.765
2.711,4.7,0.885
3.249,3.249,0.852
2.139,2.183,0.6186666666666667
3.42,3.447,0.624
3.259,3.259,0.819
2.351,4.248,0.5866666666666667
2.532,2.532,0.584
3.378,3.564,0.834
3.146,3.146,0.664
3.167,3.349,0.6213333333333333
3.529,3.771,0.825
3.411,3.548,0.771
2.761,4.357,0.822
3.246,6.597,0.792
3.258,3.258,0.6213333333333333
2.434,3.011,0.783
0.876,6.907,0.616
3.811,3.811,0.6293333333333333
1.313,5.578,0.6293333333333333
3.569,3.569,0.6506666666666666
2.373,2.964,0.789
2.782,4.196,0.828
2.871,2.871,0.6533333333333333
2.579,2.579,0.632
2.826,2.826,0.6133333333333333
0.817,9.348,0.6213333333333333
1.807,1.807,0.6133333333333333
1.78,4.834,0.822
3.412,3.412,0.879
3.009,4.079,0.87
5.007,5.007,0.792
2.095,2.48,0.664
2.58,2.58,0.64
3.058,3.058,0.81
4.638,5.533,0.6213333333333333
0.457,10.292,0.6666666666666666
1.908,6.287,0.795
3.667,3.969,0.864
2.713,2.805,0.822
3.687,3.687,0.795
3.764,3.806,0.792
3.719,3.727,0.78
2.668,4.591,0.768
5.084,5.247,0.834
2.492,3.916,0.5973333333333334
1.532,2.438,0.6053333333333333
2.82,2.82,0.6346666666666667
2.505,2.942,0.786
2.113,2.448,0.576
3.56,3.56,0.858
2.875,5.141,0.774
2.736,2.736,0.664
0.591,10.893,0.849
3.624,3.624,0.762
3.179,3.179,0.795
3.539,3.599,0.903
3.771,3.893,0.6533333333333333
3.568,3.65,0.843
1.838,2.674,0.6693333333333333
0.774,8.606,0.5866666666666667
1.349,8.937,0.6613333333333333
2.584,2.651,0.6053333333333333
3.226,4.887,0.882
3.602,3.602,0.813
2.25,2.25,0.6346666666666667
3.457,3.457,0.801
3.728,3.728,0.789
2.363,2.363,0.6586666666666666
3.543,3.561,0.783
1.517,8.269,0.5706666666666667
