true_utility,false_utility,complexity
5.374,5.468,1
4.766,4.883,1
5.743,5.89,1
5.444,5.638,1
5.274,5.274,1
5.372,5.529,1
5.155,5.477,1
5.35,5.453,1
5.351,5.598,1
4.919,5.202,1
5.505,5.676,1
5.766,5.8,1
5.042,5.332,1
5.054,5.244,1
4.714,5.139,1
5.287,5.686,1
5.633,5.702,1
5.259,5.333,1
5.487,5.58,1
5.392,5.463,1
4.831,4.997,1
5.119,5.196,1
5.251,5.621,1
5.254,5.306,1
5.631,5.678,1
5.267,5.476,1
5.285,5.634,1
5.091,5.252,1
5.097,5.235,1
5.134,5.332,1
5.04,5.148,1
5.343,5.476,1
5.481,5.778,1
4.981,5.066,1
5.778,5.826,1
5.17,5.286,1
5.631,5.778,1
5.029,5.462,1
4.999,5.255,1
4.681,5.128,1
5.301,5.381,1
5.773,5.853,1
5.383,5.486,1
5.193,5.264,1
5.378,5.556,1
5.315,5.39,1
5.565,5.816,1
5.242,5.536,1
4.554,5.043,1
5.157,5.658,1
5.23,5.544,1
5.123,5.301,1
5.09,5.437,1
5.483,5.748,1
5.747,5.875,1
4.959,5.086,1
4.583,4.726,1
4.987,5.236,1
5.285,5.538,1
5.585,5.797,1
5.4,5.648,1
5.26,5.563,1
5.285,5.385,1
5.152,5.442,1
5.453,5.577,1
5.154,5.248,1
5.178,5.418,1
5.248,5.314,1
5.72,5.779,1
5.194,5.515,1
5.186,5.342,1
5.472,5.659,1
5.23,5.603,1
5.692,5.89,1
5.189,5.289,1
4.828,5.065,1
5.008,5.112,1
4.884,5.115,1
4.836,5.06,1
5.361,5.656,1
5.263,5.384,1
5.221,5.459,1
4.999,5.223,1
5.613,5.775,1
5.525,5.768,1
5.589,5.707,1
5.039,5.179,1
4.9,5.224,1
5.123,5.352,1
5.143,5.335,1
5.204,5.357,1
4.918,5.279,1
5.485,5.72,1
6.14,6.295,1
5.292,5.567,1
4.796,4.88,1
5.065,5.245,1
4.981,5.361,1
5.781,5.854,1
5.238,5.487,1
5.416,5.689,1
4.96,5.022,1
4.861,5.068,1
5.518,5.657,1
5.096,5.261,1
5.269,5.38,1
5.269,5.345,1
5.461,5.51,1
5.108,5.256,1
5.239,5.494,1
5.716,5.834,1
5.591,5.831,1
5.419,5.576,1
5.571,5.673,1
5.233,5.31,1
5.377,5.464,1
4.871,5.039,1
5.724,5.857,1
5.065,5.236,1
5.235,5.385,1
5.612,5.788,1
5.59,5.894,1
4.916,5.348,1
5.572,5.642,1
5.417,5.53,1
4.869,5.319,1
5.14,5.33,1
5.631,5.923,1
5.817,5.908,1
5.428,5.499,1
5.083,5.439,1
5.8,5.814,1
5.151,5.345,1
5.32,5.461,1
5.077,5.318,1
5.731,5.858,1
5.528,5.639,1
5.264,5.367,1
4.99,5.222,1
5.375,5.625,1
5.496,5.712,1
5.601,5.749,1
5.234,5.502,1
4.865,4.926,1
5.226,5.46,1
5.628,5.69,1
4.986,5.252,1
5.586,5.686,1
5.368,5.532,1
5.981,5.997,1
5.389,5.641,1
5.366,5.489,1
4.605,4.815,1
4.976,5.024,1
4.642,4.936,1
5.293,5.38,1
4.936,5.003,1
5.692,5.855,1
5.326,5.537,1
5.583,5.908,1
5.425,5.569,1
5.156,5.667,1
4.708,5.106,1
5.176,5.58,1
4.91,5.278,1
5.427,5.445,1
5.911,6.006,1
4.857,4.991,1
5.72,5.869,1
5.201,5.347,1
5.533,5.656,1
5.031,5.191,1
5.171,5.519,1
4.515,4.946,1
4.361,4.894,1
5.128,5.32,1
5.302,5.544,1
5.652,5.782,1
5.053,5.373,1
5.388,5.599,1
5.262,5.315,1
4.862,4.957,1
5.614,5.932,1
5.498,5.663,1
5.45,5.688,1
5.62,5.797,1
4.817,5.142,1
5.245,5.417,1
5.556,5.754,1
5.142,5.254,1
5.199,5.375,1
4.661,5.261,1
5.373,5.568,1
4.719,5.036,1
5.413,5.504,1
5.309,5.413,1
5.405,5.601,1
4.676,5.004,1
5.328,5.631,1
4.782,4.955,1
4.633,5.02,1
5.112,5.265,1
5.309,5.519,1
5.288,5.549,1
5.494,5.727,1
5.12,5.373,1
5.359,5.421,1
4.651,5.123,1
5.852,5.91,1
5.134,5.341,1
4.692,4.984,1
5.131,5.259,1
4.917,5.081,1
5.404,5.689,1
5.078,5.333,1
5.136,5.191,1
4.592,4.901,1
5.403,5.7,1
4.586,4.755,1
4.735,5.035,1
5.87,5.961,1
5.038,5.33,1
5.147,5.382,1
5.568,5.62,1
4.993,5.214,1
5.417,5.449,1
5.484,5.528,1
5.421,5.708,1
5.361,5.513,1
5.792,5.892,1
4.706,5.034,1
5.07,5.237,1
5.58,5.759,1
4.728,4.96,1
5.037,5.186,1
5.433,5.5,1
4.976,5.163,1
5.642,5.741,1
5.329,5.677,1
5.377,5.401,1
5.107,5.115,1
5.06,5.09,1
5.382,5.505,1
5.331,5.409,1
5.061,5.113,1
5.101,5.494,1
5.317,5.577,1
5.052,5.103,1
5.15,5.329,1
5.2,5.347,1
5.842,6.099,1
5.1,5.445,1
4.973,5.21,1
5.439,5.635,1
5.349,5.582,1
4.79,5.203,1
5.417,5.528,1
5.228,5.387,1
5.438,5.529,1
5.198,5.441,1
5.229,5.54,1
5.457,5.579,1
5.198,5.333,1
5.106,5.244,1
4.974,5.223,1
5.374,5.481,1
5.449,5.508,1
5.505,5.564,1
5.685,5.786,1
5.542,5.718,1
4.854,5.202,1
5.001,5.214,1
5.103,5.248,1
5.931,6.164,1
5.236,5.421,1
5.59,5.872,1
5.406,5.556,1
4.799,4.984,1
5.116,5.255,1
5.513,5.641,1
5.525,5.716,1
5.566,5.652,1
5.742,5.765,1
5.672,5.768,1
5.398,5.548,1
4.893,5.305,1
5.524,5.699,1
5.21,5.714,1
4.771,4.811,1
5.603,5.72,1
4.946,5.135,1
5.138,5.365,1
4.852,5.191,1
5.299,5.339,1
5.356,5.792,1
5.493,5.79,1
5.12,5.567,1
5.382,5.613,1
5.317,5.466,1
5.433,5.545,1
5.621,5.684,1
4.978,5.109,1
4.709,5.079,1
5.52,5.756,1
5.874,6.104,1
5.049,5.206,1
5.066,5.258,1
5.294,5.447,1
4.99,5.073,1
5.29,5.517,1
4.902,5.198,1
5.499,5.519,1
5.551,5.646,1
5.693,5.846,1
4.63,5.166,1
5.673,5.781,1
5.254,5.392,1
5.168,5.269,1
5.443,5.605,1
5.312,5.41,1
4.983,5.318,1
5.333,5.424,1
4.869,5.197,1
5.424,5.633,1
5.409,5.641,1
5.781,5.991,1
5.523,5.822,1
5.089,5.285,1
5.772,5.85,1
4.923,5.32,1
5.094,5.239,1
5.489,5.594,1
5.405,5.606,1
5.601,5.65,1
5.22,5.478,1
4.853,5.157,1
5.352,5.488,1
5.26,5.446,1
5.281,5.428,1
5.242,5.413,1
4.659,4.937,1
5.067,5.202,1
5.124,5.279,1
5.259,5.559,1
5.527,5.623,1
5.456,5.688,1
5.125,5.571,1
5.038,5.333,1
4.864,5.111,1
6.023,6.071,1
5.107,5.209,1
5.855,5.99,1
5.418,5.659,1
5.364,5.744,1
5.707,5.819,1
5.237,5.397,1
4.979,5.038,1
5.527,5.692,1
5.554,5.678,1
5.53,5.569,1
5.203,5.592,1
5.637,5.77,1
5.398,5.436,1
5.114,5.396,1
4.584,5.074,1
5.374,5.646,1
5.351,5.521,1
5.116,5.637,1
5.447,5.602,1
5.286,5.332,1
5.357,5.457,1
4.676,5.054,1
5.751,5.939,1
5.006,5.197,1
5.315,5.378,1
5.123,5.375,1
4.93,5.29,1
5.568,5.865,1
5.459,5.587,1
5.339,5.566,1
5.144,5.288,1
5.083,5.117,1
5.117,5.375,1
5.259,5.415,1
5.063,5.216,1
4.986,5.43,1
5.122,5.473,1
5.335,5.563,1
4.423,4.949,1
5.293,5.336,1
5.178,5.25,1
5.246,5.398,1
4.827,5.066,1
5.221,5.344,1
4.906,5.051,1
4.963,5.095,1
5.29,5.347,1
5.23,5.44,1
5.07,5.394,1
5.333,5.483,1
5.41,5.783,1
4.741,5.105,1
5.16,5.364,1
5.659,5.705,1
5.619,5.733,1
5.562,5.797,1
4.848,5.304,1
5.471,5.561,1
5.456,5.529,1
5.057,5.311,1
5.668,5.865,1
5.374,5.497,1
5.304,5.555,1
