true_utility,misspecified_reward,steps_on_tomato
5.6,5.813,0.565
5.55,5.601,0.584
5.407,5.598,0.567
5.132,5.232,0.551
5.72,5.924,0.589
4.951,5.441,0.501
5.433,5.534,0.525
5.769,6.011,0.556
5.329,5.688,0.498
4.749,5.043,0.544
5.529,5.694,0.556
5.628,5.785,0.566
5.005,5.417,0.513
5.709,5.745,0.576
5.576,5.596,0.593
5.569,5.602,0.571
5.14,5.279,0.583
5.413,5.504,0.572
5.057,5.222,0.554
5.665,5.799,0.587
5.183,5.516,0.525
5.385,5.55,0.556
5.11,5.355,0.56
5.531,5.783,0.557
5.449,5.545,0.579
5.314,5.519,0.549
5.429,5.489,0.593
5.742,5.927,0.535
6.033,6.108,0.626
5.244,5.483,0.563
5.076,5.207,0.555
5.227,5.372,0.574
4.686,4.84,0.522
5.305,5.543,0.589
5.364,5.463,0.547
5.183,5.416,0.563
5.733,5.802,0.602
5.485,5.558,0.586
4.923,5.043,0.517
5.66,5.931,0.555
5.255,5.704,0.526
4.923,5.265,0.524
4.991,5.133,0.561
5.897,6.081,0.541
5.092,5.186,0.556
5.488,5.644,0.561
4.856,5.409,0.529
6.127,6.306,0.563
5.87,6.037,0.52
5.48,5.813,0.56
5.287,5.659,0.546
5.103,5.315,0.548
5.377,5.611,0.578
5.261,5.443,0.536
5.755,5.945,0.541
5.626,5.884,0.583
5.666,5.837,0.576
5.653,5.739,0.558
5.817,5.919,0.576
5.284,5.464,0.534
5.867,5.974,0.563
5.61,5.746,0.551
5.073,5.167,0.544
5.437,5.474,0.577
5.375,5.541,0.552
5.456,5.55,0.58
5.374,5.492,0.548
5.952,6.113,0.617
5.042,5.326,0.521
5.289,5.474,0.541
5.304,5.503,0.566
4.727,5.132,0.504
5.531,5.711,0.58
5.396,5.553,0.548
5.312,5.669,0.546
5.219,5.438,0.549
5.123,5.216,0.541
4.876,5.118,0.556
5.56,5.714,0.56
5.709,5.727,0.559
5.372,5.783,0.537
5.979,6.188,0.59
5.171,5.411,0.528
5.311,5.407,0.564
5.479,5.562,0.572
5.531,5.613,0.581
5.492,5.63,0.581
5.119,5.734,0.477
4.707,4.92,0.541
5.354,5.716,0.502
5.233,5.555,0.536
5.066,5.442,0.54
5.691,5.93,0.574
5.962,6.062,0.584
5.437,5.723,0.572
5.284,5.495,0.59
5.803,5.969,0.586
5.301,5.556,0.52
5.088,5.371,0.583
5.109,5.446,0.568
5.516,5.883,0.491
5.427,5.659,0.577
5.225,5.442,0.495
6.197,6.215,0.599
5.146,5.217,0.557
5.586,5.83,0.53
5.279,5.504,0.566
5.617,5.667,0.573
5.45,5.462,0.617
4.984,5.174,0.521
5.025,5.2,0.57
5.238,5.429,0.576
5.165,5.529,0.556
5.001,5.365,0.494
5.616,5.702,0.57
5.299,5.468,0.518
5.465,5.537,0.596
5.453,5.59,0.578
5.244,5.315,0.558
5.635,5.665,0.598
5.308,5.466,0.561
5.49,5.646,0.547
5.307,5.454,0.565
5.797,5.99,0.582
5.662,5.779,0.585
5.614,5.831,0.547
4.683,4.981,0.496
5.227,5.626,0.526
5.554,5.747,0.534
5.316,5.337,0.598
5.782,6.094,0.568
5.4,5.691,0.556
4.922,5.102,0.509
5.768,5.86,0.604
5.645,5.806,0.549
5.283,5.536,0.557
5.779,5.914,0.584
5.753,5.867,0.567
5.224,5.413,0.571
4.864,5.021,0.528
5.333,5.551,0.56
5.798,5.854,0.574
5.928,6.178,0.544
4.974,5.105,0.555
5.056,5.462,0.505
5.186,5.402,0.579
5.561,5.623,0.578
5.57,5.841,0.551
5.247,5.281,0.571
5.056,5.37,0.529
4.799,5.288,0.537
5.726,5.734,0.583
5.059,5.132,0.586
5.325,5.474,0.545
5.48,5.676,0.546
5.201,5.397,0.521
5.268,5.411,0.529
5.53,5.858,0.5
5.719,5.842,0.562
5.36,5.773,0.519
5.121,5.276,0.557
5.254,5.477,0.517
5.707,5.826,0.576
5.314,5.627,0.571
4.889,5.105,0.538
4.927,5.132,0.566
5.439,5.755,0.48
5.425,5.716,0.534
5.392,5.53,0.548
5.875,6.184,0.499
5.675,5.793,0.579
5.708,5.913,0.542
5.556,5.717,0.575
5.244,5.326,0.569
5.004,5.323,0.563
5.318,5.448,0.537
4.845,5.209,0.517
4.995,5.393,0.53
5.958,6.015,0.605
5.317,5.589,0.535
5.377,5.609,0.57
5.559,5.849,0.551
5.804,5.899,0.574
5.316,5.384,0.588
5.063,5.156,0.538
5.754,5.776,0.595
5.681,5.839,0.539
5.567,5.866,0.539
5.178,5.479,0.609
5.473,5.618,0.591
5.307,5.437,0.617
5.323,5.507,0.532
4.95,5.082,0.587
5.505,5.71,0.548
5.471,5.666,0.534
5.735,5.862,0.558
5.652,5.992,0.549
5.098,5.342,0.551
5.626,5.774,0.542
5.187,5.302,0.554
5.716,5.886,0.594
5.629,5.802,0.602
5.109,5.18,0.57
5.528,5.805,0.581
5.175,5.284,0.539
5.466,5.538,0.569
5.779,5.892,0.56
5.11,5.223,0.552
5.267,5.479,0.525
5.67,5.67,0.613
4.539,5.023,0.453
5.44,5.532,0.608
5.641,5.95,0.551
4.808,5.115,0.585
5.534,5.639,0.592
5.509,5.566,0.573
6.062,6.115,0.575
5.705,5.846,0.544
4.807,5.036,0.541
5.443,5.664,0.598
5.44,5.636,0.574
5.148,5.323,0.576
5.562,5.617,0.609
5.5,5.566,0.593
5.171,5.487,0.501
5.186,5.465,0.511
5.283,5.596,0.545
5.511,5.511,0.598
5.431,5.667,0.572
5.552,5.853,0.553
5.18,5.596,0.537
5.318,5.418,0.583
5.381,5.566,0.549
4.987,5.677,0.523
5.49,5.502,0.587
4.939,5.223,0.487
5.526,5.608,0.568
5.229,5.483,0.586
5.559,5.734,0.58
4.995,5.295,0.459
4.941,5.139,0.556
5.211,5.584,0.543
5.469,5.592,0.559
4.97,5.048,0.56
5.064,5.097,0.571
5.471,5.617,0.524
5.167,5.359,0.544
5.402,5.568,0.572
5.285,5.445,0.528
5.299,5.398,0.568
5.301,5.485,0.582
5.425,5.639,0.551
5.458,5.647,0.612
5.885,5.917,0.595
5.729,5.802,0.563
5.436,5.629,0.552
5.306,5.429,0.581
5.636,5.774,0.578
5.503,5.648,0.555
5.575,5.668,0.58
5.054,5.192,0.573
5.964,6.138,0.536
5.747,5.945,0.587
5.233,5.441,0.556
5.998,6.154,0.565
5.391,5.556,0.496
5.17,5.379,0.544
5.011,5.22,0.53
5.147,5.348,0.549
5.653,5.864,0.541
4.807,5.061,0.565
5.668,5.79,0.537
5.242,5.386,0.565
5.895,6.056,0.548
5.039,5.256,0.562
5.862,5.897,0.624
5.22,5.618,0.507
6.015,6.113,0.576
5.647,5.859,0.558
6.045,6.177,0.583
5.787,6.01,0.551
5.706,5.852,0.536
5.441,5.462,0.565
5.061,5.147,0.531
4.83,5.33,0.528
5.587,5.607,0.633
5.913,5.962,0.605
5.325,5.443,0.522
5.096,5.346,0.554
5.36,5.461,0.588
5.589,5.657,0.606
5.515,5.658,0.569
5.809,5.998,0.577
5.34,5.378,0.592
5.721,5.94,0.547
5.618,5.709,0.591
5.157,5.443,0.513
5.634,5.998,0.548
5.423,5.51,0.555
5.972,6.083,0.626
5.016,5.48,0.499
5.219,5.378,0.586
