true_utility,misspecified_reward,steps_on_tomato
4.133,4.241,0.691
3.336,3.678,0.544
3.507,3.61,0.584
5.061,5.061,0.621
3.958,3.996,0.61
4.323,4.932,0.482
4.258,4.658,0.489
3.989,4.286,0.494
4.914,5.33,0.532
4.793,5.299,0.546
2.637,5.463,0.3
4.113,4.472,0.494
3.279,4.707,0.405
3.893,3.91,0.701
4.141,4.141,0.615
3.913,3.936,0.718
4.348,4.348,0.605
3.419,3.955,0.387
3.763,4.275,0.438
4.255,4.488,0.423
4.096,4.117,0.611
4.401,4.936,0.445
3.831,3.831,0.615
2.749,4.763,0.443
3.823,4.168,0.563
3.694,3.763,0.635
3.374,3.473,0.52
3.553,3.603,0.435
4.737,4.76,0.64
3.104,5.405,0.403
4.136,4.136,0.678
4.105,4.105,0.692
5.228,5.329,0.631
3.468,4.463,0.349
3.766,4.354,0.581
4.782,4.804,0.541
3.075,4.865,0.473
4.539,4.539,0.564
3.927,3.964,0.676
2.402,4.02,0.31
4.556,4.586,0.55
4.078,4.306,0.64
3.999,3.999,0.598
4.747,4.747,0.684
3.56,5.514,0.361
2.463,3.916,0.275
3.108,4.506,0.415
3.944,3.944,0.541
3.676,4.025,0.347
6.079,6.196,0.676
2.748,5.601,0.239
4.754,5.0,0.53
3.684,3.853,0.617
3.463,4.192,0.316
4.357,4.711,0.64
3.994,4.002,0.672
4.369,4.426,0.625
4.185,4.185,0.582
4.433,4.839,0.501
2.744,3.199,0.31
4.215,4.215,0.617
5.252,5.276,0.561
4.548,5.223,0.451
4.327,4.524,0.591
4.341,4.341,0.543
4.128,4.434,0.651
3.247,4.018,0.454
4.194,4.587,0.518
4.812,4.812,0.535
3.646,3.646,0.674
4.572,4.665,0.621
3.861,3.861,0.59
5.065,5.194,0.645
2.764,3.476,0.382
4.498,4.498,0.731
2.781,5.52,0.341
4.774,5.923,0.571
4.601,4.601,0.533
3.009,3.968,0.452
4.553,4.56,0.545
4.731,5.273,0.485
3.29,4.191,0.578
3.733,3.797,0.638
3.58,4.734,0.443
4.426,4.426,0.619
3.972,3.972,0.611
4.206,4.206,0.605
4.674,4.674,0.683
3.635,3.99,0.429
4.172,4.172,0.611
5.817,6.146,0.529
4.624,4.83,0.514
4.099,4.854,0.459
3.596,3.596,0.586
3.894,4.152,0.69
4.735,4.801,0.565
3.044,3.044,0.621
4.464,4.475,0.699
4.546,4.546,0.625
4.908,4.94,0.691
3.808,5.476,0.443
2.673,4.889,0.366
3.603,3.603,0.505
4.073,4.507,0.577
4.142,4.142,0.623
4.519,4.615,0.537
4.003,4.003,0.714
3.457,3.989,0.492
4.123,4.123,0.658
3.994,5.221,0.478
4.367,4.367,0.704
2.818,4.339,0.333
4.245,4.245,0.577
4.177,4.177,0.681
3.887,3.887,0.566
4.838,5.134,0.521
4.615,4.615,0.589
4.373,4.514,0.587
4.189,4.189,0.68
3.517,3.517,0.588
4.768,5.04,0.596
2.881,3.091,0.57
4.178,4.864,0.556
4.212,5.033,0.511
4.172,4.172,0.567
4.357,4.357,0.651
4.911,5.265,0.494
4.167,4.167,0.617
4.975,5.535,0.546
2.535,2.869,0.458
4.605,4.656,0.551
4.639,4.639,0.631
5.272,5.4,0.574
4.095,4.095,0.617
3.796,5.034,0.367
4.117,5.096,0.433
4.103,4.103,0.623
2.173,4.821,0.226
4.552,5.105,0.487
4.194,4.449,0.624
4.511,4.521,0.648
2.436,4.215,0.273
4.067,4.067,0.694
4.019,4.115,0.561
4.528,4.624,0.556
3.903,3.903,0.588
4.198,4.198,0.564
4.778,5.059,0.534
3.3,5.322,0.367
4.105,4.503,0.463
2.719,4.832,0.255
4.882,4.882,0.63
5.087,5.287,0.562
3.684,3.921,0.49
4.12,4.12,0.65
2.583,4.226,0.338
4.634,4.694,0.623
4.317,4.317,0.675
5.023,5.023,0.655
3.15,5.554,0.349
3.988,4.586,0.466
3.866,4.194,0.506
4.399,5.214,0.574
5.173,5.367,0.563
3.656,3.656,0.53
4.015,4.015,0.75
3.048,3.048,0.673
2.861,3.971,0.433
4.385,4.832,0.443
2.672,4.536,0.279
3.72,4.044,0.48
3.23,3.682,0.473
3.27,4.44,0.515
3.376,3.907,0.462
3.775,3.775,0.607
3.748,3.748,0.56
4.323,4.332,0.734
3.994,4.074,0.599
3.573,3.803,0.515
4.393,4.46,0.545
3.806,3.806,0.534
4.535,4.573,0.589
5.038,5.038,0.589
3.264,3.264,0.656
3.053,3.692,0.389
3.545,3.545,0.583
5.786,5.806,0.643
5.368,5.383,0.58
4.39,4.675,0.505
3.134,3.294,0.576
4.701,4.741,0.637
2.618,3.335,0.481
3.139,3.362,0.511
2.306,3.439,0.291
5.0,5.0,0.58
4.766,4.766,0.577
3.064,3.412,0.373
4.496,4.496,0.615
4.559,4.798,0.494
3.469,3.615,0.579
5.381,5.419,0.669
3.885,4.023,0.434
3.279,3.876,0.498
4.293,4.293,0.635
4.216,4.449,0.709
4.831,4.867,0.615
3.6,5.325,0.353
4.279,4.475,0.491
4.448,4.448,0.671
2.852,4.098,0.461
4.862,5.133,0.458
4.704,4.704,0.563
5.155,5.733,0.534
4.998,5.515,0.597
5.076,5.112,0.573
4.661,4.661,0.634
4.355,4.355,0.538
3.149,4.797,0.296
5.146,5.21,0.576
3.605,3.605,0.607
4.656,4.665,0.68
3.867,4.203,0.511
2.296,5.461,0.219
3.009,3.824,0.363
4.28,4.967,0.479
4.854,5.197,0.441
4.271,4.322,0.627
2.865,3.785,0.343
4.678,4.736,0.688
3.775,3.775,0.627
3.892,4.211,0.512
5.174,5.174,0.642
4.351,4.351,0.597
3.873,4.434,0.487
4.008,4.008,0.715
2.802,4.327,0.353
2.902,4.261,0.268
3.836,4.457,0.469
4.101,4.111,0.61
4.057,4.424,0.464
3.586,4.99,0.384
2.921,4.251,0.32
3.53,3.829,0.493
5.275,5.472,0.643
3.672,3.907,0.516
3.509,3.785,0.528
3.142,4.983,0.421
3.365,5.873,0.401
4.5,4.533,0.574
4.594,4.679,0.531
4.476,4.581,0.628
3.562,4.618,0.515
4.479,4.479,0.599
3.83,4.336,0.577
4.133,4.133,0.635
4.038,4.502,0.42
5.888,5.942,0.629
4.492,4.499,0.695
3.401,5.375,0.385
3.845,3.925,0.7
4.09,4.09,0.665
3.703,3.703,0.648
3.896,3.896,0.63
4.369,5.813,0.418
5.237,5.289,0.572
4.63,4.63,0.54
3.889,4.546,0.542
2.358,5.519,0.304
6.028,6.046,0.627
4.578,4.754,0.52
2.263,3.286,0.434
3.959,3.959,0.591
3.923,4.375,0.555
4.31,4.367,0.687
3.05,3.861,0.458
3.501,4.093,0.379
5.301,5.301,0.622
3.664,5.572,0.342
3.484,3.484,0.682
5.332,5.332,0.621
2.647,3.83,0.368
4.846,4.941,0.541
4.857,4.866,0.533
2.345,4.868,0.272
3.935,4.187,0.576
4.024,4.024,0.562
5.49,5.49,0.559
3.849,4.864,0.565
2.794,3.299,0.483
3.533,5.294,0.425
4.22,4.22,0.705
3.654,3.654,0.583
4.612,4.612,0.616
5.099,5.563,0.595
4.68,4.794,0.624
2.309,4.116,0.333
3.227,5.221,0.348
4.12,4.489,0.414
3.997,4.299,0.523
4.796,4.995,0.543
2.886,3.949,0.333
4.003,4.592,0.499
5.081,5.219,0.606
4.438,4.537,0.646
3.186,3.613,0.537
4.743,4.743,0.532
2.389,6.127,0.348
3.658,5.447,0.404
4.802,4.802,0.721
4.223,4.223,0.527
3.42,3.42,0.539
4.269,4.364,0.675
3.919,5.225,0.438
2.936,3.158,0.593
4.445,5.025,0.526
3.512,3.512,0.539
3.339,3.486,0.539
3.496,3.615,0.559
3.172,3.358,0.556
4.822,4.822,0.67
3.456,3.609,0.714
3.518,5.332,0.391
3.666,4.291,0.345
3.42,3.42,0.645
3.944,3.944,0.603
4.214,4.214,0.553
2.674,3.599,0.355
3.334,3.334,0.62
3.115,3.413,0.465
4.007,4.007,0.531
4.215,4.215,0.668
5.126,5.147,0.573
3.681,3.681,0.541
3.076,4.013,0.38
2.102,3.495,0.309
4.2,4.2,0.64
3.484,4.116,0.494
3.694,3.807,0.616
3.696,3.941,0.551
3.946,4.02,0.567
3.976,3.976,0.615
5.148,5.175,0.585
4.606,4.628,0.562
4.502,4.502,0.616
3.549,3.731,0.627
3.717,3.717,0.657
4.562,4.586,0.71
2.961,4.004,0.426
3.847,3.847,0.665
3.573,3.573,0.595
3.81,3.81,0.484
4.166,4.245,0.52
4.215,4.958,0.527
4.427,4.54,0.549
3.905,3.905,0.6
4.312,4.518,0.544
3.52,3.878,0.45
4.141,4.321,0.456
5.175,5.223,0.663
3.937,4.033,0.578
4.118,4.399,0.618
3.663,4.519,0.397
3.082,3.116,0.558
2.959,3.796,0.415
4.004,4.524,0.412
3.953,4.56,0.598
4.13,4.13,0.673
4.094,4.094,0.609
4.603,4.611,0.674
4.014,4.114,0.63
4.638,4.638,0.676
4.452,4.615,0.578
1.971,5.783,0.251
4.06,4.06,0.678
3.793,3.93,0.506
3.407,3.73,0.539
4.14,4.438,0.556
2.834,4.846,0.356
3.58,3.58,0.573
4.844,4.844,0.692
5.336,5.426,0.662
3.903,3.903,0.65
4.116,4.172,0.597
3.179,3.296,0.576
4.454,4.454,0.584
4.111,4.111,0.554
4.156,4.733,0.516
3.46,3.802,0.484
3.547,3.547,0.58
4.021,4.03,0.731
3.763,3.986,0.578
4.074,4.145,0.513
3.889,4.047,0.564
4.233,4.966,0.484
4.673,4.681,0.526
5.048,5.048,0.756
3.356,3.822,0.435
3.869,4.279,0.674
3.737,4.359,0.46
2.555,4.736,0.296
4.903,4.959,0.574
4.43,4.448,0.706
2.413,4.353,0.336
2.865,5.532,0.317
4.219,4.219,0.583
4.056,4.056,0.732
4.249,4.368,0.503
3.973,4.832,0.522
2.852,4.045,0.427
4.011,4.011,0.662
3.656,4.579,0.433
3.606,3.606,0.643
3.786,3.786,0.652
4.926,5.242,0.494
4.394,4.422,0.655
3.71,4.215,0.451
3.932,4.296,0.546
2.718,4.748,0.303
3.126,4.843,0.582
4.565,4.774,0.514
3.915,3.915,0.682
4.033,4.692,0.54
4.785,5.06,0.544
3.262,3.65,0.531
2.707,3.727,0.303
3.374,3.374,0.572
4.149,4.149,0.602
4.489,4.525,0.641
2.848,4.736,0.329
3.666,4.028,0.592
4.047,4.055,0.621
3.196,3.668,0.321
4.088,4.938,0.46
2.828,3.423,0.395
2.775,4.476,0.271
4.248,4.28,0.635
4.634,5.025,0.612
4.355,4.355,0.614
4.195,4.195,0.685
3.647,3.647,0.648
4.736,4.742,0.686
4.157,5.011,0.426
3.625,4.396,0.456
4.164,4.172,0.587
5.093,5.32,0.604
2.01,4.578,0.301
3.122,3.49,0.439
5.65,5.684,0.661
3.58,3.58,0.713
4.52,4.52,0.6
3.56,3.794,0.498
3.932,4.017,0.684
4.501,4.525,0.613
4.34,4.375,0.635
4.2,4.2,0.608
4.951,4.951,0.598
3.791,4.598,0.357
3.52,3.581,0.673
5.122,5.169,0.629
3.87,3.87,0.668
4.223,4.287,0.567
3.895,3.98,0.543
2.309,3.097,0.384
4.388,4.388,0.528
3.067,3.337,0.494
4.357,4.479,0.593
1.713,4.406,0.253
4.376,4.577,0.498
3.812,3.812,0.581
2.746,3.642,0.385
3.922,4.121,0.603
3.827,4.315,0.381
2.551,4.749,0.233
3.343,3.343,0.705
6.352,6.59,0.592
3.844,4.826,0.45
3.833,4.226,0.51
2.676,4.848,0.275
3.96,4.203,0.508
3.994,3.994,0.727
3.827,3.827,0.643
4.906,4.939,0.605
4.801,4.801,0.494
3.58,5.057,0.543
3.181,4.678,0.317
2.315,5.523,0.305
2.674,4.389,0.363
4.038,4.038,0.555
3.539,3.584,0.575
4.013,4.55,0.424
3.91,3.91,0.64
3.141,3.141,0.629
4.441,4.72,0.603
