true_utility,false_utility,complexity
5.527,5.625,1
4.645,5.162,1
4.911,5.622,1
5.311,5.803,1
5.266,5.709,1
5.229,5.33,1
5.248,5.447,1
4.897,5.472,1
4.689,5.359,1
4.734,5.294,1
5.467,5.692,1
4.81,5.361,1
5.307,5.398,1
4.68,4.925,1
4.836,5.542,1
4.486,5.632,1
4.643,5.134,1
4.58,5.098,1
5.137,5.431,1
4.642,5.144,1
5.381,5.478,1
4.867,5.41,1
4.572,5.193,1
4.505,5.481,1
4.938,5.268,1
5.201,5.264,1
5.622,5.684,1
5.681,5.723,1
5.552,5.741,1
5.055,5.247,1
4.658,5.091,1
5.052,5.291,1
5.219,5.361,1
5.508,5.855,1
4.74,5.072,1
5.339,5.726,1
4.745,4.887,1
5.325,5.661,1
4.461,5.428,1
4.796,5.09,1
4.749,5.343,1
5.129,5.406,1
4.421,5.006,1
4.864,5.076,1
5.239,5.323,1
5.11,5.806,1
4.137,5.236,1
5.07,5.672,1
5.009,5.843,1
5.08,5.08,1
5.43,5.624,1
4.781,5.201,1
4.485,4.999,1
5.179,5.487,1
4.947,5.228,1
5.131,5.556,1
5.369,5.517,1
4.851,5.101,1
4.929,5.643,1
4.917,5.295,1
5.044,5.387,1
4.652,4.987,1
5.035,5.267,1
5.237,5.52,1
4.747,5.087,1
5.006,5.62,1
5.198,5.501,1
4.944,5.088,1
5.288,5.71,1
5.017,5.181,1
4.483,5.39,1
4.572,4.84,1
5.2,5.385,1
4.862,5.092,1
4.872,5.37,1
4.642,5.11,1
4.896,5.251,1
5.331,5.639,1
4.789,5.098,1
5.311,5.449,1
5.055,5.205,1
4.573,4.981,1
4.713,5.085,1
4.337,5.043,1
5.249,5.502,1
5.292,5.737,1
5.007,5.059,1
4.971,5.514,1
4.926,5.291,1
5.494,5.745,1
5.274,5.687,1
5.333,5.394,1
4.799,5.509,1
5.175,5.421,1
4.982,5.184,1
4.586,5.115,1
5.137,5.57,1
5.396,5.725,1
4.959,6.126,1
